Model,Hyperparameter,t0,input,rmse1,rmse7,rmse30
ARIMA,"ARIMA(0, 1, 1)",72,30,0.551206207,0.847058782,1.278691848
ARIMA,"ARIMA(0, 1, 1)",86,30,0.591463441,0.930420228,1.392668011
ARIMA,"ARIMA(0, 1, 1)",95,30,0.477096172,0.803861785,1.114732863
ARIMA,"ARIMA(0, 1, 1)",96,30,1.220600271,1.303356392,1.453330993
ARIMA,"ARIMA(0, 1, 1)",103,30,0.759395706,0.943629151,1.529123538
ARIMA,"ARIMA(0, 1, 1)",105,30,0.708928556,1.022539397,1.788125428
ARIMA,"ARIMA(0, 1, 1)",108,30,0.945906645,1.522649858,2.422631933
ARIMA,"ARIMA(0, 1, 1)",111,30,0.587719778,0.894904653,1.947325494
ARIMA,"ARIMA(0, 1, 1)",114,30,0.847133538,1.017690692,2.076233866
ARIMA,"ARIMA(0, 1, 1)",116,30,0.819415873,0.934331201,1.715605341
ARIMA,"ARIMA(0, 1, 1)",122,30,0.862778594,1.004281782,1.85056418
ARIMA,"ARIMA(0, 1, 1)",125,30,0.867065446,0.829720183,1.875108716
ARIMA,"ARIMA(0, 1, 1)",127,30,0.795316069,0.816532135,2.29827997
ARIMA,"ARIMA(0, 1, 1)",129,30,0.693904146,0.955379628,1.831383767
ARIMA,"ARIMA(0, 1, 1)",131,30,0.980722171,1.351816883,2.36064747
ARIMA,"ARIMA(0, 1, 1)",133,30,0.988011851,1.263540637,1.809136748
ARIMA,"ARIMA(0, 1, 1)",135,30,2.013538782,2.213612499,2.729737724
ARIMA,"ARIMA(0, 1, 1)",136,30,1.299426616,1.64243098,2.094960371
ARIMA,"ARIMA(0, 1, 1)",141,30,0.522371793,0.956489818,1.415690918
ARIMA,"ARIMA(0, 1, 1)",146,30,1.346379767,1.471227261,3.030132064
ARIMA,"ARIMA(0, 1, 1)",147,30,1.129659081,0.997302692,2.656044309
ARIMA,"ARIMA(0, 1, 1)",153,30,1.002615747,1.062967997,3.057450535
ARIMA,"ARIMA(0, 1, 1)",159,30,0.334837843,0.940520319,2.854492508
ARIMA,"ARIMA(0, 1, 1)",164,30,0.375892147,1.351789464,2.62698125
ARIMA,"ARIMA(0, 1, 1)",173,30,1.394953287,1.9172795,1.929430879
ARIMA,"ARIMA(0, 1, 1)",183,30,0.889602591,1.676900153,3.034724443
ARIMA,"ARIMA(0, 1, 1)",185,30,1.96651762,1.516537912,3.46786745
ARIMA,"ARIMA(0, 1, 1)",187,30,2.149599541,1.84800407,2.888675607
ARIMA,"ARIMA(0, 1, 1)",189,30,0.765175649,2.268918456,5.245671622
ARIMA,"ARIMA(0, 1, 1)",193,30,1.178511222,1.500027025,3.799191427
ARIMA,"ARIMA(0, 1, 1)",206,30,1.876576259,1.687623545,2.857521679
ARIMA,"ARIMA(0, 1, 1)",212,30,0.654606806,2.441227648,1.632693138
ARIMA,"ARIMA(0, 1, 1)",219,30,0.456447184,2.363060166,2.967403812
ARIMA,"ARIMA(0, 1, 1)",222,30,0.91900318,0.979185025,1.364711594
ARIMA,"ARIMA(0, 1, 1)",223,30,0.677904541,0.715666728,1.191691782
ARIMA,"ARIMA(0, 1, 1)",239,30,1.18327156,1.810545358,2.109512066
ARIMA,"ARIMA(0, 1, 1)",249,30,0.409971833,1.357803906,2.473397587
ARIMA,"ARIMA(0, 1, 1)",251,30,0.307235742,2.016095382,2.693086382
ARIMA,"ARIMA(0, 1, 1)",255,30,0.590177726,1.103903779,1.50101022
ARIMA,"ARIMA(0, 1, 1)",256,30,0.57162158,1.060324913,1.433682287
ARIMA,"ARIMA(0, 1, 1)",266,30,0.855470763,1.063634667,1.507159658
ARIMA,"ARIMA(0, 1, 1)",271,30,0.632949311,1.149717001,1.621456433
ARIMA,"ARIMA(0, 1, 1)",283,30,0.950298831,1.69798332,3.380491601
ARIMA,"ARIMA(0, 1, 1)",284,30,0.764959518,1.351730944,2.929261267
ARIMA,"ARIMA(0, 1, 1)",285,30,0.73555534,1.294880054,2.902774069
ARIMA,"ARIMA(0, 1, 1)",290,30,0.765635711,1.140848547,2.465345337
ARIMA,"ARIMA(0, 1, 1)",298,30,0.553443222,0.783883117,2.550951288
ARIMA,"ARIMA(0, 1, 1)",310,30,0.364282449,0.770615769,2.685432765
ARIMA,"ARIMA(0, 1, 1)",328,30,0.817855213,1.041289983,2.68837816
ARIMA,"ARIMA(0, 1, 1)",332,30,1.052192186,1.31670176,2.902139906
ARIMA,"ARIMA(0, 1, 1)",344,30,0.736392543,0.963161748,1.018736884
ARIMA,"ARIMA(0, 1, 1)",354,30,0.775306381,0.830065913,1.036469932
ARIMA,"ARIMA(0, 1, 1)",364,30,0.740886211,0.90921911,1.651044567
ARIMA,"ARIMA(0, 1, 1)",365,30,0.640694763,0.891481314,1.723378486
ARIMA,"ARIMA(0, 1, 1)",366,30,0.595427634,0.957628993,1.595750653
ARIMA,"ARIMA(0, 1, 1)",368,30,0.682695114,0.867420442,1.766260801
ARIMA,"ARIMA(0, 1, 1)",372,30,0.632244785,0.991224078,2.181219064
ARIMA,"ARIMA(0, 1, 1)",378,30,0.542003452,0.860039548,2.05405724
ARIMA,"ARIMA(0, 1, 1)",380,30,0.784513298,1.04308571,2.181030254
ARIMA,"ARIMA(0, 1, 1)",383,30,0.985882676,1.067413258,1.919778315
ARIMA,"ARIMA(0, 1, 1)",386,30,1.27440414,1.491516651,2.454479613
ARIMA,"ARIMA(0, 1, 1)",388,30,0.516068826,0.737699275,1.538823091
ARIMA,"ARIMA(0, 1, 1)",389,30,0.788823925,0.821113635,1.399674746
ARIMA,"ARIMA(0, 1, 1)",391,30,0.755914455,0.864949726,1.782083788
ARIMA,"ARIMA(0, 1, 1)",392,30,0.547490958,0.728450046,1.447184603
ARIMA,"ARIMA(0, 1, 1)",402,30,0.526610986,0.73622309,0.913538132
ARIMA,"ARIMA(0, 1, 1)",404,30,0.567824661,0.774875516,0.915033672
ARIMA,"ARIMA(0, 1, 1)",407,30,0.45889067,0.565688971,0.990001411
ARIMA,"ARIMA(0, 1, 1)",413,30,0.531455536,0.757981571,1.265768919
ARIMA,"ARIMA(0, 1, 1)",414,30,0.568277727,0.889969636,1.369972883
ARIMA,"ARIMA(0, 1, 1)",419,30,0.591630652,1.123188332,1.446866897
ARIMA,"ARIMA(0, 1, 1)",420,30,0.670436545,1.025137534,1.394646553
ARIMA,"ARIMA(0, 1, 1)",423,30,1.177274021,1.20823114,1.550555288
ARIMA,"ARIMA(0, 1, 1)",426,30,0.678340193,1.006838607,1.79178511
ARIMA,"ARIMA(0, 1, 1)",431,30,0.968722182,1.418131384,2.349499536
ARIMA,"ARIMA(0, 1, 1)",432,30,1.126543207,1.660045622,2.663345575
ARIMA,"ARIMA(0, 1, 1)",433,30,0.881281811,1.247285383,2.272583057
ARIMA,"ARIMA(0, 1, 1)",443,30,1.073924802,2.225549182,3.178502435
ARIMA,"ARIMA(0, 1, 1)",445,30,1.226395237,1.741666994,2.765451991
ARIMA,"ARIMA(0, 1, 1)",451,30,0.488565512,1.181491222,1.762810874
ARIMA,"ARIMA(0, 1, 1)",455,30,1.234531857,0.991476879,1.73591899
ARIMA,"ARIMA(0, 1, 1)",460,30,0.676814237,1.006464681,2.226133797
ARIMA,"ARIMA(0, 1, 1)",469,30,0.469397463,1.375423994,1.75762007
ARIMA,"ARIMA(0, 1, 1)",470,30,1.04086671,1.573196929,2.064349172
ARIMA,"ARIMA(0, 1, 1)",471,30,0.61887693,1.168889276,1.656123604
ARIMA,"ARIMA(0, 1, 1)",482,30,0.551528469,0.548730014,1.45095085
ARIMA,"ARIMA(0, 1, 1)",493,30,0.628068347,1.395458765,3.26485827
ARIMA,"ARIMA(0, 1, 1)",518,30,0.94321979,1.470281669,1.529343751
ARIMA,"ARIMA(0, 1, 1)",519,30,0.938649453,1.372654491,1.6489006
ARIMA,"ARIMA(0, 1, 1)",522,30,0.822721777,0.89289416,1.777052373
ARIMA,"ARIMA(0, 1, 1)",545,30,1.896973944,2.889646328,6.977089178
ARIMA,"ARIMA(0, 1, 1)",549,30,0.985817741,1.419752638,5.458152878
ARIMA,"ARIMA(0, 1, 1)",551,30,0.555566338,2.061086051,5.858581636
ARIMA,"ARIMA(0, 1, 1)",555,30,0.829303252,3.881787262,5.457814787
ARIMA,"ARIMA(0, 1, 1)",560,30,0.779894516,1.410756936,2.063943547
ARIMA,"ARIMA(0, 1, 1)",561,30,0.713603968,1.643274126,1.700591601
ARIMA,"ARIMA(0, 1, 1)",562,30,0.558808271,1.658895502,1.686488036
ARIMA,"ARIMA(0, 1, 1)",574,30,3.127114901,4.434373911,3.529992743
ARIMA,"ARIMA(0, 1, 1)",582,30,0.606456239,0.78635201,2.515272115
ARIMA,"ARIMA(0, 1, 1)",583,30,0.63678524,1.056133179,2.560963873
ARIMA,"ARIMA(0, 1, 1)",585,30,0.412988344,1.203688088,2.81325036
ARIMA,"ARIMA(0, 1, 1)",594,30,0.718952914,1.022272372,2.283635509
ARIMA,"ARIMA(0, 1, 1)",600,30,0.838742937,1.215085139,2.318524088
ARIMA,"ARIMA(0, 1, 1)",608,30,0.925399054,1.533886542,1.819431211
ARIMA,"ARIMA(0, 1, 1)",609,30,1.242541628,1.921705472,2.034753157
ARIMA,"ARIMA(0, 1, 1)",613,30,1.745882163,2.129367419,2.319760652
ARIMA,"ARIMA(0, 1, 1)",615,30,1.150131527,0.964212312,1.671720527
